46.4,31.28,4,True
48.2,29.23,4,NaN
44.6,33.49,0,NaN
42.8,35.87,4,NaN
44.6,33.49,4,NaN
44.6,33.49,4,NaN
41.0,41.54,0,NaN
41.0,41.54,0,NaN
41.0,41.54,0,NaN
41.0,41.54,0,NaN
46.4,33.79,0,NaN
46.4,33.79,0,NaN
41.0,41.54,4,NaN
41.0,41.54,4,NaN
42.8,35.87,6,NaN
44.6,33.49,4,False
44.6,33.49,0,False
44.6,33.49,0,False
44.6,33.49,0,False
44.6,33.49,0,False
44.6,33.49,0,False
41.0,41.54,4,False
41.0,41.54,4,False
42.8,35.87,4,False
42.8,35.87,4,False
42.8,38.75,4,False
42.8,38.75,6,False
42.8,38.75,8,False
42.8,56.48,8,False
42.8,65.38,6,False
42.8,60.79,8,False
41.0,65.16,8,False
41.0,75.33,6,False
41.0,75.33,4,False
41.0,75.33,6,False
41.0,80.93,4,False
41.0,80.93,0,False
41.0,80.93,4,False
41.0,80.93,4,False
41.0,80.93,6,False
41.0,86.89,4,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,86.89,4,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,86.89,6,False
41.0,80.93,4,False
39.2,86.79,4,False
39.2,86.79,0,False
39.2,86.79,0,False
39.2,86.79,0,False
37.4,86.69,4,False
39.2,86.79,4,False
39.2,86.79,0,True
37.4,86.69,4,True
37.4,86.69,4,True
37.4,86.69,0,True
37.4,86.69,4,True
37.4,86.69,4,True
39.2,80.79,6,True
39.2,80.79,4,True
39.2,75.16,4,True
39.2,75.16,6,True
37.4,80.65,4,True
37.4,80.65,4,True
39.2,69.88,6,True
39.2,64.93,6,True
39.2,60.29,4,True
37.4,64.7,4,True
35.6,69.46,0,False
39.2,55.95,0,False
37.4,64.7,4,False
37.4,74.98,4,False
39.2,75.16,4,False
42.8,65.38,4,False
42.8,65.38,4,False
44.6,61.03,4,False
46.4,53.0,6,False
46.4,53.0,4,False
48.2,49.53,6,False
46.4,57.0,6,False
48.2,49.53,8,False
48.2,49.53,4,False
48.2,49.53,4,False
48.2,49.53,4,False
48.2,46.02,8,False
48.2,46.02,4,False
44.6,61.03,16,False
42.8,70.28,12,False
42.8,75.5,14,False
42.8,75.5,12,False
42.8,70.28,6,False
42.8,70.28,4,False
42.8,65.38,4,False
42.8,70.28,0,True
41.0,75.33,0,True
41.0,75.33,0,True
41.0,75.33,0,True
41.0,70.08,6,NaN
41.0,70.08,8,NaN
39.2,75.16,6,NaN
39.2,75.16,8,NaN
37.4,74.98,6,NaN
37.4,74.98,6,NaN
37.4,74.98,6,NaN
35.6,74.8,6,NaN
35.6,80.51,8,NaN
35.6,74.8,6,NaN
35.6,74.8,6,NaN
35.6,74.8,6,NaN
35.6,74.8,6,NaN
35.6,64.46,0,NaN
33.8,69.25,6,NaN
33.8,69.25,6,NaN
33.8,64.23,0,NaN
33.8,64.23,0,NaN
33.8,59.53,0,NaN
35.6,55.41,0,NaN
